"wallMessages","robotMessages","tick"
82004.0,57617.0,229.0
82281.0,57861.0,230.0
82507.0,58007.0,231.0
82772.0,58251.0,232.0
82993.0,58389.0,233.0
83265.0,58627.0,234.0
83439.0,58631.0,235.0
83746.0,59012.0,236.0
83961.0,59142.0,237.0
84184.0,59245.0,238.0
84397.0,59375.0,239.0
84700.0,59754.0,240.0
84867.0,59754.0,241.0
85127.0,59978.0,242.0
85334.0,60100.0,243.0
85593.0,60360.0,244.0
85795.0,60474.0,245.0
86050.0,60692.0,246.0
86213.0,60696.0,247.0
86506.0,61069.0,248.0
86702.0,61175.0,249.0
86916.0,61282.0,250.0
87109.0,61384.0,251.0
87400.0,61758.0,252.0
87556.0,61758.0,253.0
87799.0,61962.0,254.0
87987.0,62060.0,255.0
88241.0,62336.0,256.0
88393.0,62336.0,257.0
88579.0,62516.0,258.0
88731.0,62516.0,259.0
88927.0,62688.0,260.0
89105.0,62852.0,261.0
89256.0,62854.0,262.0
89404.0,62858.0,263.0
89621.0,63175.0,264.0
89767.0,63175.0,265.0
89972.0,63294.0,266.0
90141.0,63434.0,267.0
90391.0,63721.0,268.0
90532.0,63721.0,269.0
90759.0,63970.0,270.0
90901.0,63974.0,271.0
91145.0,64262.0,272.0
91304.0,64378.0,273.0
91505.0,64501.0,274.0
91641.0,64501.0,275.0
91906.0,64902.0,276.0
92041.0,64902.0,277.0
92237.0,65025.0,278.0
92389.0,65123.0,279.0
92568.0,65299.0,280.0
92760.0,65422.0,281.0
92909.0,65507.0,282.0
93039.0,65508.0,283.0
93280.0,65814.0,284.0
93421.0,65853.0,285.0
93551.0,65856.0,286.0
93743.0,65986.0,287.0
93918.0,66166.0,288.0
94107.0,66290.0,289.0
94235.0,66292.0,290.0
94435.0,66448.0,291.0
94622.0,66646.0,292.0
94807.0,66767.0,293.0
94944.0,66800.0,294.0
95130.0,66926.0,295.0
95302.0,67113.0,296.0
95493.0,67260.0,297.0
95625.0,67287.0,298.0
95807.0,67409.0,299.0
95979.0,67603.0,300.0
96165.0,67744.0,301.0
96292.0,67765.0,302.0
96472.0,67891.0,303.0
96640.0,68086.0,304.0
96822.0,68222.0,305.0
96940.0,68225.0,306.0
97116.0,68345.0,307.0
97285.0,68547.0,308.0
97463.0,68678.0,309.0
97579.0,68681.0,310.0
97752.0,68802.0,311.0
97921.0,69014.0,312.0
98094.0,69139.0,313.0
98207.0,69142.0,314.0
98376.0,69259.0,315.0
98544.0,69472.0,316.0
98713.0,69590.0,317.0
98824.0,69592.0,318.0
98994.0,69712.0,319.0
99159.0,69923.0,320.0
99326.0,70038.0,321.0
99437.0,70040.0,322.0
99603.0,70153.0,323.0
99770.0,70371.0,324.0
99934.0,70482.0,325.0
100044.0,70484.0,326.0
100208.0,70597.0,327.0
100373.0,70816.0,328.0
100534.0,70923.0,329.0
100643.0,70925.0,330.0
100803.0,71030.0,331.0
100970.0,71256.0,332.0
101128.0,71359.0,333.0
101236.0,71361.0,334.0
101394.0,71466.0,335.0
101559.0,71693.0,336.0
101714.0,71792.0,337.0
101821.0,71794.0,338.0
101975.0,71891.0,339.0
102142.0,72125.0,340.0
102294.0,72220.0,341.0
102400.0,72222.0,342.0
102505.0,72226.0,343.0
102669.0,72459.0,344.0
102819.0,72552.0,345.0
102924.0,72554.0,346.0
103073.0,72645.0,347.0
103239.0,72883.0,348.0
103386.0,72972.0,349.0
103490.0,72974.0,350.0
103637.0,73065.0,351.0
103801.0,73304.0,352.0
103945.0,73389.0,353.0
104048.0,73391.0,354.0
104191.0,73474.0,355.0
104357.0,73720.0,356.0
104498.0,73801.0,357.0
104600.0,73803.0,358.0
104701.0,73807.0,359.0
104864.0,74052.0,360.0
104963.0,74052.0,361.0
105104.0,74133.0,362.0
105204.0,74137.0,363.0
105406.0,74459.0,364.0
105504.0,74459.0,365.0
105642.0,74536.0,366.0
105741.0,74540.0,367.0
105941.0,74862.0,368.0
106038.0,74862.0,369.0
106137.0,74864.0,370.0
106235.0,74868.0,371.0
106433.0,75189.0,372.0
106529.0,75189.0,373.0
106627.0,75191.0,374.0
106724.0,75195.0,375.0
106884.0,75444.0,376.0
106979.0,75444.0,377.0
107076.0,75446.0,378.0
107172.0,75450.0,379.0
107330.0,75695.0,380.0
107424.0,75695.0,381.0
107520.0,75697.0,382.0
107615.0,75701.0,383.0
107807.0,76012.0,384.0
107900.0,76012.0,385.0
108029.0,76081.0,386.0
108123.0,76085.0,387.0
108313.0,76395.0,388.0
108405.0,76395.0,389.0
108531.0,76460.0,390.0
108624.0,76464.0,391.0
108812.0,76774.0,392.0
108903.0,76774.0,393.0
109026.0,76835.0,394.0
109118.0,76839.0,395.0
109304.0,77149.0,396.0
109394.0,77149.0,397.0
109514.0,77206.0,398.0
109605.0,77210.0,399.0
109789.0,77520.0,400.0
109878.0,77520.0,401.0
109995.0,77573.0,402.0
110085.0,77577.0,403.0
110267.0,77887.0,404.0
110355.0,77887.0,405.0
110469.0,77936.0,406.0
110558.0,77940.0,407.0
110738.0,78250.0,408.0
110825.0,78250.0,409.0
110936.0,78295.0,410.0
111024.0,78299.0,411.0
111202.0,78609.0,412.0
111288.0,78609.0,413.0
111396.0,78650.0,414.0
111483.0,78654.0,415.0
111659.0,78964.0,416.0
111744.0,78964.0,417.0
111831.0,78966.0,418.0
111917.0,78970.0,419.0
112072.0,79243.0,420.0
112156.0,79243.0,421.0
112260.0,79280.0,422.0
112345.0,79284.0,423.0
112517.0,79590.0,424.0
112600.0,79590.0,425.0
112701.0,79623.0,426.0
112785.0,79627.0,427.0
112955.0,79933.0,428.0
113037.0,79933.0,429.0
113135.0,79962.0,430.0
113218.0,79966.0,431.0
113386.0,80272.0,432.0
113467.0,80272.0,433.0
113562.0,80297.0,434.0
113643.0,80297.0,435.0
113811.0,80606.0,436.0
113891.0,80606.0,437.0
113983.0,80627.0,438.0
114064.0,80631.0,439.0
114228.0,80937.0,440.0
114307.0,80937.0,441.0
114396.0,80954.0,442.0
114475.0,80954.0,443.0
114564.0,80972.0,444.0
114643.0,80972.0,445.0
114804.0,81278.0,446.0
114883.0,81282.0,447.0
114965.0,81291.0,448.0
115042.0,81291.0,449.0
115121.0,81293.0,450.0
115198.0,81293.0,451.0
115275.0,81293.0,452.0
115352.0,81293.0,453.0
115434.0,81300.0,454.0
115512.0,81300.0,455.0
115593.0,81305.0,456.0
115671.0,81305.0,457.0
115830.0,81615.0,458.0
115907.0,81615.0,459.0
115984.0,81615.0,460.0
116061.0,81615.0,461.0
116215.0,81920.0,462.0
116292.0,81920.0,463.0
116370.0,81924.0,464.0
116446.0,81924.0,465.0
116598.0,82225.0,466.0
116674.0,82225.0,467.0
116755.0,82232.0,468.0
116831.0,82232.0,469.0
116986.0,82536.0,470.0
117062.0,82536.0,471.0
117140.0,82539.0,472.0
117216.0,82539.0,473.0
117369.0,82838.0,474.0
117445.0,82838.0,475.0
117522.0,82838.0,476.0
117599.0,82838.0,477.0
117756.0,83142.0,478.0
117832.0,83142.0,479.0
117914.0,83150.0,480.0
117991.0,83150.0,481.0
118146.0,83448.0,482.0
118222.0,83448.0,483.0
118307.0,83465.0,484.0
118383.0,83465.0,485.0
118535.0,83757.0,486.0
118610.0,83757.0,487.0
118689.0,83761.0,488.0
118765.0,83761.0,489.0
118915.0,84047.0,490.0
118990.0,84047.0,491.0
119068.0,84049.0,492.0
119144.0,84049.0,493.0
119292.0,84328.0,494.0
119376.0,84352.0,495.0
119453.0,84354.0,496.0
119528.0,84354.0,497.0
119682.0,84652.0,498.0
119756.0,84652.0,499.0
119832.0,84654.0,500.0
119913.0,84676.0,501.0
120056.0,84947.0,502.0
120129.0,84947.0,503.0
120211.0,84971.0,504.0
120283.0,84971.0,505.0
120424.0,85238.0,506.0
120503.0,85259.0,507.0
120576.0,85261.0,508.0
120647.0,85261.0,509.0
120793.0,85544.0,510.0
120863.0,85544.0,511.0
120935.0,85546.0,512.0
121011.0,85565.0,513.0
121147.0,85824.0,514.0
121216.0,85824.0,515.0
121293.0,85845.0,516.0
121361.0,85845.0,517.0
121495.0,86100.0,518.0
121569.0,86118.0,519.0
121638.0,86120.0,520.0
121705.0,86120.0,521.0
